"file","line","symbol","note"
"src/analytics/action-center-service.ts","23","ActionCenterService","All entrypoints are `creatorId`-scoped; callers must verify the authenticated creator matches `creatorId`."
"src/analytics/analytics-store-db.ts","186","DbAnalyticsStore","Reads and writes creator-scoped rows; callers must ensure Prisma/queries enforce tenant isolation where applicable."
"src/analytics/analytics-store.ts","24","AnalyticsStore","All methods are keyed by `creator_id`; callers must enforce authz so one creator cannot read or mutate another's data."
"src/analytics/analytics-store.ts","123","FileAnalyticsStore","Persists creator-scoped data on the local filesystem; callers must restrict path and host access."
"src/analytics/backfill-analytics-from-file.ts","20","backfillAnalyticsFromFile","Imports creator-scoped operational data; restrict to trusted operators and locked-down paths."
"src/analytics/types.ts","28","RecommendationCard","Cards reference `creator_id` and operational metadata; callers must enforce tenant/creator scope when persisting or serving rows."
"src/analytics/types.ts","101","MetricsSummary","Exposes creator-scoped metrics; callers must scope by authorized `creator_id` / tenant."
"src/auth/auth-service.ts","50","PatreonAuthService","Handles OAuth secrets and Patreon provider user IDs; callers must bind HTTP routes to authenticated creator sessions."
"src/auth/cookie-store.ts","35","FilePatreonCookieStore","Session identifiers are bearer-equivalent once decrypted; restrict filesystem access and gate by authenticated creator id."
"src/auth/extension-consent-code.ts","4","EXTENSION_CONSENT_CODE_TTL_MS","Codes bind `accountId` + `installationId`; HTTP handlers must verify session ownership before minting."
"src/auth/patreon-client.ts","25","PatreonClient","Embeds `client_secret` in request bodies; keep instances server-side only."
"src/auth/patreon-creator-oauth-state.ts","4","getPatreonOAuthStateSecret","Stateless tokens bind `accountId` and `creatorId`; callers must enforce session ownership before minting or accepting states."
"src/auth/patron-oauth-credential-store.ts","30","upsertPatronOAuthCredential","Persists bearer-grade secrets tied to patrons; callers must authorize `accountId` first."
"src/auth/patron-oauth-credential-store.ts","103","getPatronOAuthTokensForAccount","Returns bearer secrets; never log return value."
"src/auth/token-store-db.ts","45","DbPatreonTokenStore","Writes OAuth secrets and mutates `Tenant`/`User`/`ProviderAccount`; routes must enforce authenticated creator scope."
"src/auth/token-store.ts","17","PatreonTokenRecord","Contains ciphertext of Patreon tokens encrypted under `TokenEncryption`."
"src/auth/token-store.ts","35","PersistedPatreonTokens","Plaintext bearer + refresh secrets; callers must never log or echo these fields."
"src/auth/token-store.ts","48","PatreonTokenStore","Implementations must scope reads/writes to the authorized creator."
"src/auth/token-store.ts","77","FilePatreonTokenStore","Filesystem path must be restricted; payloads are sensitive at rest once decrypted."
"src/clone/clone-service.ts","17","CloneService","All methods are `creatorId`-scoped; HTTP must verify the caller owns the creator/tenant."
"src/clone/clone-store-db.ts","15","DbCloneSiteStore","Payloads describe creator content topology; enforce creator authz at API layer."
